attr_name	tumor_breast_1	tumor_breast_2	tumor_breast_3	tumor_breast_4	tumor_breast_5	tumor_breast_6	normal_breast_1	normal_breast_2	normal_breast_3	normal_breast_4	normal_breast_5	normal_breast_6
205619_s_at	3.38331221199653	3.28043844522681	6.81336238337284	6.47494750855376	8.03889651618361	4.44674375162082	8.97005929825318	8.33295284510345	8.32247532180106	8.9535797421222	9.41951375474205	10.8353869200939
205685_at	6.28643985382855	5.90606514097038	6.44831787154747	7.30515608467016	6.98466141336827	8.19077530351492	5.39693675202433	4.7156110155885	5.56859419452381	5.94977089163807	6.07415676349565	5.35297708082207
205686_s_at	6.4894457600479	5.10071399152159	4.80771541957332	6.56663936288902	6.06003724820928	7.76389473474713	4.39863886215083	4.79773328959068	4.74093923125728	4.80525301915759	4.82589847256388	5.05454384652671
205687_at	6.39104676056788	6.13688280042284	7.85207628250993	5.0729010521682	6.56093587336458	5.72347310862459	3.67081725337559	4.3357541414605	4.64798756366004	4.98090994038608	4.72779976902893	5.16629787023944
205695_at	6.53788168241343	5.5594243829102	6.18828716485733	7.08650236470381	7.47830243358502	6.53984336237393	5.37554622542168	5.30174064556718	5.57632298274564	5.28180702681029	5.91506183505132	5.49753480165214
205700_at	8.04532856218458	7.43928969029959	2.2050268842602	4.10014477392614	6.79806566431502	7.18028780750132	3.17962444131352	2.59597189709567	2.29343764822936	2.86226732914147	2.95290162880963	2.43221945439535
205713_s_at	9.51938037244804	11.2290838024927	11.404493762163	9.8776477456097	11.9187757321595	12.5991122196328	3.49901076099415	4.04779179303896	7.01054904247949	7.29428718672832	8.77769339313193	6.8031208092108
205730_s_at	4.42985756039492	5.28737438035906	5.03188674656363	5.3503648624066	5.12844935229283	5.20683596440127	6.51135874659266	7.55472734163898	6.20694756858135	6.82383814337307	6.97359533152133	6.37396128740436
205794_s_at	7.27179130054443	8.21259645428448	6.71264982230002	5.32411333537762	6.59288460932158	5.41410683234799	10.2395811222012	9.36666942937279	9.27359002160124	8.72755551837895	8.58802002028501	8.99451656733552
205859_at	8.16124204061906	6.24543800823556	7.19107833360353	9.08105451725997	8.87112022272987	8.54283125129063	5.27039744345429	5.5741601693619	5.77567453107079	6.42095853623181	6.18244640937711	6.98167021299446
205882_x_at	7.68503505951411	7.36348592906208	7.79868048491452	7.3857142069358	6.83084538979724	6.58547832970948	9.81195964662269	9.06654253824942	9.13719600201995	8.32195432232664	7.9245437405236	7.80994104319009
205883_at	5.72734092850412	6.23164306138277	5.97023923712563	4.44306645581555	3.62551448658635	4.21298130746599	8.75889846290371	9.10226083936561	6.38355308692033	7.51660762282341	7.41728447702917	8.12395587272398
205923_at	6.60080079294695	8.5221082817796	7.18216928759112	5.87173920699654	7.19741443514078	4.9374513941542	10.6977507788409	9.66214259133918	9.02605233928971	8.98547631797789	9.06988759418396	8.80653802829861
205931_s_at	3.5641735428078	3.11517766014574	3.55192059375401	3.09032956180844	3.55930518048493	3.62455724384737	4.45887356434023	4.22686493371368	5.96151181939603	4.4766958085244	6.29035260376788	3.80831954597355
205941_s_at	11.6153810682477	10.5612393505322	8.09868804074805	8.94485516256652	11.3003387273651	11.9296068286732	4.80662249156431	4.19684873681289	4.59044298751476	5.55627215502253	5.29531397282687	5.73078441702177
205959_at	7.58775053204647	6.13272232949965	3.45111794715901	5.24655671824757	8.79345358320093	7.64700507053063	3.86551842839888	3.10414824034456	3.583954908047	3.51567802287689	3.90750674153689	3.47202179613146
206030_at	4.59721575723455	3.0529922962359	4.39751495142151	5.90014425682289	6.93443640425675	6.0960085783028	8.0796096843428	8.49594396432435	8.94949462803473	6.98231303930155	8.4981444289167	7.17985441710402
206049_at	5.6829250175984	5.77178583750153	6.29692928203381	6.81747074733994	6.96923000210405	5.97973852774358	6.32192252531647	7.3238231067662	7.23476967838259	9.42065447395967	7.6180531314257	8.28110281946485
206091_at	6.53526276039178	7.45433264119487	2.72132387913879	3.26304150627907	7.47631675564492	4.85504251596335	2.17080783853373	1.81600260282475	2.21590686063689	1.9418123677366	2.23803352380107	2.28347772006312
206093_x_at	5.45922413409823	6.73847929497521	9.81831012500318	7.69410798061966	7.42630194668978	5.60670915396795	10.3295765521375	10.2244506270601	12.6414692923461	11.7948510979722	11.8150942171265	10.8184097895102
206109_at	5.84963032333081	5.16739876787566	5.36072623464789	5.49164359145426	5.345811391149	5.82583162064896	6.92466446402574	7.62165511277072	6.61753763491638	5.70636992362738	6.57662772993156	6.68994855267067
206157_at	2.98202250576418	2.81432579049199	2.81439608633168	3.04299012722864	3.00970567949766	3.50204186106744	7.26661815973006	6.90654468577284	5.10359229622737	5.47119794395037	5.4591812570161	3.49705625213054
206159_at	2.35481054728705	2.56465523381154	3.07024296476261	2.99685003067349	3.07359716570873	2.22328026823306	3.93443590988038	5.27956561381613	5.60319846231753	3.79817301825887	4.03610114275325	3.08593096685819
206167_s_at	6.77974895308238	5.3006084848999	5.90326194044428	5.40561156286056	6.32308062230632	6.09035237656374	8.56468689483562	8.18334236086106	6.75136831159187	7.05535985801607	7.5663438309147	7.71273035871505
206171_at	8.44163351470581	6.22089127622046	5.94999700284232	6.58559972348628	7.04267985634858	6.73794116325895	5.55410838822975	5.46127479136599	5.46216894921225	5.07212202081537	5.02590982950579	5.17653795611083
206201_s_at	3.28630482259486	4.79045831746495	3.14145235445219	4.15566719691992	4.4156765567588	4.53110013637892	7.14253417156747	5.63846505916891	5.40561502760025	7.8490126829004	6.63705468273699	7.80668754402658
206237_s_at	5.02488796452864	6.09182836894262	5.03228795899555	3.6452859162509	4.53606000075494	4.75812068350464	3.89210501932278	3.69803517775645	3.57487222200518	3.65071683138284	3.49981413870997	3.81741817847969
206262_at	3.24222376845849	3.42798548820117	5.96167257223135	4.86767123512664	5.33295292717091	3.54355220666498	7.25270547857863	7.97580941798601	6.4631047147964	6.95599044051275	6.32137942004517	5.49260997177728
206283_s_at	5.25295384092901	6.13031293454656	5.50077387247104	5.53700754268767	5.53974397687164	4.85219183427564	7.38419916556937	7.23212108763772	6.91732914830248	6.56507437891667	6.67078789616014	7.37794989821292
206284_x_at	7.30698706926094	8.0403042315379	7.25058456243937	7.53295885085254	8.77793958113903	8.03332103691217	6.31228456983576	6.31379405872606	5.89062853211721	6.58651636499812	7.47623965116235	6.715913178649
206326_at	9.04257461029174	8.5104622918053	3.96765964025914	4.66316658338137	6.62231582433797	6.58935766845338	2.76954730212562	3.07821688021426	2.89071449840499	3.5716678735087	3.50366420826084	4.27335230411317
206343_s_at	5.48121634368429	6.3336299772468	3.9610765776077	3.37922612679991	5.98762827506997	5.72471333016654	3.18727248561579	2.41022335224148	2.49461532243426	2.91649549278718	3.09609413671069	3.30826667552657
206348_s_at	6.24912863210021	7.1310948382903	5.60275402238191	5.25041248851562	6.00615780536848	5.42364069171801	4.76881113825764	4.5034533303222	4.14210005332049	5.11765236525197	5.12263128349696	5.59260013505295
206424_at	5.15338766299873	5.7560523340427	6.39597130427726	4.95170071059494	5.12015353715891	9.23599023947523	4.21942678304963	4.03759927968997	4.19836626268005	3.93977253370113	3.93702661379929	3.74029294793166
206453_s_at	7.86677713343573	8.43061173488535	8.37229439986948	8.14472461754298	7.46418239245496	7.33244463962207	9.30811444847781	10.0094899255261	8.87312492037864	9.22641101415228	9.42101738093725	9.29023349182776
206464_at	3.06619198373636	3.35606449045214	3.48206203479704	3.03497077558645	4.28390757439355	2.89282641391901	3.48857131824205	3.97136228600266	4.2012051801808	6.59689602956755	4.87953956944429	4.52770361635601
206481_s_at	8.39092119583517	8.14644418352627	7.45233029685111	7.54831155261147	8.05490935739911	7.20636701920025	9.50692403273519	10.2312489432922	8.79871582360749	9.55774279115226	9.17090233081808	9.67951281477716
206487_at	5.59708557816666	6.31162689271911	6.43412258440634	5.8901174774588	5.30909186200428	5.69740633337912	7.6848216669571	7.0555872695021	7.67270708964214	7.36191221683905	6.58710046523141	7.45279466606183
206488_s_at	3.96173173678862	2.834458630694	3.81848801137391	3.49185459976773	5.70677608092154	3.45003025730589	7.59758552122517	7.74658960261601	6.39229419860978	6.73629448159396	6.90706899114434	7.53734152128211
206601_s_at	4.47222794851731	3.05475734224756	2.68639310864849	3.7612266433194	3.40518262424649	3.41811551242099	4.33072385927062	3.69271177217533	4.76486348239872	5.21462750961711	5.80808380031445	5.85469387917256
206637_at	6.12006497716156	4.5995704627701	5.2388526805553	6.61784768927851	6.4427934882318	4.37965755910231	7.27978970825986	6.7412650401833	8.47695676804717	7.57361993761575	6.95538675712263	8.62784793192211
206653_at	3.89121002996448	3.1564586855032	3.78325049382376	4.24023745540898	4.87692535981466	3.25681991076095	6.04823068547003	5.11932247032379	5.363258674731	5.80181902672624	4.42790814144573	4.69081331346119
206701_x_at	4.93876925533846	4.05529816581396	3.6454975822699	4.43494334457964	2.90580868050555	3.57427873763707	8.2394045050095	6.65041247904906	4.81687489078976	5.55902037634679	5.07897605947976	6.49361049636047
206702_at	6.81017303783275	6.44116554603221	5.32051921315352	6.31380760083214	6.29607165289785	5.56856280456424	7.97958804612063	8.20163282890385	6.76563183820695	7.13866160554052	8.42798947795187	8.29447259853934
206737_at	5.37054573928507	4.87878829515977	5.71568688006477	5.12304230412912	6.19996100322668	4.60825479341978	5.33698769494334	6.87634706493149	8.64467237175357	6.74557608537013	8.14504569040238	6.06033106200509
206742_at	4.09939817720678	3.65345313425332	5.31604125356051	4.23365704018783	4.31771777615773	4.02736861038091	10.2050860186328	10.8728568127823	8.94198672547724	8.55073877764681	8.60820841101297	7.41668079597858
206772_at	6.15979026251327	4.31226647041162	3.68888099087758	3.58668439871626	3.4247176134884	3.09412364734005	6.52130994903893	5.49825994225275	4.76486348239872	5.79738166456446	5.08662196951862	5.61479127060531
206796_at	7.45666710002905	7.36176983221483	4.64627243961203	6.61334259056754	4.56715026608277	7.06725021442997	3.23983417522153	3.51527633901954	3.57314445051077	3.60637966556899	3.83415899736499	4.56072582178338
206991_s_at	5.98089173563263	5.57922640243097	6.01765842066002	7.83347367732677	7.55759390250247	7.54308978564545	5.54629978932624	5.21945495761623	4.73471587928863	5.67610689608688	5.77628704925616	5.02821067951187
206993_at	5.92663072569223	5.88807221825725	5.31951762461112	5.96551266167226	6.07760661919429	6.09303257090031	3.95292695201351	4.9262957215001	3.76642805379195	4.58961230892752	5.73882641902615	5.59722324755988
207002_s_at	7.84019120755409	8.25919190701108	7.87874266913859	7.145656901063	8.13646896043791	7.89485576005151	10.2253307234375	8.42361918736829	9.65220361581217	8.67192205481135	9.62834099230763	9.85894603669743
207031_at	7.34905905283839	7.37560252446576	4.1007130696293	5.27840336943061	5.55793816419171	7.12878996769971	3.40204174118218	3.40393028324199	3.98956779355679	3.43953040520427	3.8392445177824	3.51052593859026
207039_at	6.64765592514505	7.93802591114474	6.00265360185746	5.41264218451784	6.78246673053321	7.22408482915613	3.46646639700956	3.480216463358	4.18611532460901	4.27892879572221	4.58645018284056	4.63956122999271
207111_at	3.89567158349085	2.95291378780623	4.12425833906937	4.55448130396583	5.90537807432721	5.18700337037966	3.19918513214671	2.93676688927427	3.13734414255158	2.76732990738009	3.02418342021771	3.37987588332241
207157_s_at	9.28123353262528	9.07587030021839	10.6462502662301	9.42573287641911	9.67231025574781	9.46647570014895	8.91324939034078	8.24234941036263	7.81542744285874	7.5909972088017	8.75684260834341	8.73894213595311
207173_x_at	11.3205418776203	11.2775331079901	8.89464018652896	9.4883723131316	11.3376473914491	11.2670915666198	8.20443715136647	7.2593103580457	7.43147993468779	8.63355167671118	6.86313951392535	9.72197209405716
207177_at	3.99787852870582	5.57251967622416	5.68110936801085	4.32428706586505	4.4419627999644	3.87140588110875	8.34784397450609	7.9245437405236	7.10881976292485	6.96411314842139	5.70376758125378	5.2677391705311
207255_at	3.65380366692571	4.04047051708737	5.23979762041807	3.90679502189952	3.51317822547349	3.19627652114409	6.49869810227054	6.86013357586622	7.22092641655422	7.43458362284515	5.81951635673536	5.20585641600328
207277_at	5.73589263433297	5.62939014888547	6.01753000708481	6.9872390479256	6.62526318309037	6.70569871878553	7.38798132029472	6.78458800049031	8.06998978614544	7.88911386868275	7.44601963693183	7.51918067335573
207283_at	6.94384588323937	7.2379722020032	7.90210213841779	6.83519852900891	5.22237934487606	6.32630148374353	8.89197703957102	8.34419793291363	9.39918121138805	8.01423291595158	8.00944037281966	7.81341896005487
207357_s_at	6.71967024477638	5.81402813835243	5.38431242196872	5.6074981759028	7.30972900667167	6.50859150462636	5.83086812030452	4.62186418862619	4.15745678353961	4.60923594461927	4.50547872566109	4.82432558502998
207426_s_at	7.50079928889286	3.34823764245269	3.97259495283855	8.18784954632229	7.19548397955388	9.09554062626865	3.15475878519421	2.72393852031366	2.63078661077446	3.96168619539336	3.63623689435282	3.63345343468089
